order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,Item,Supplier,Order made On,Order received On,Lead Time,Quantity,Cost/unit,Review,Liked
1,03/07/2022,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Night,Potatoes,Batata & Co.,12/23/2011,12/30/2011,7,42752,29,Wow... Loved this place.,1
2,08/23/2022,Vadapav,Fastfood,20,15,300,Cash,Mr.,Afternoon,Potatoes,Batata Batata Men,12/20/2011,12/28/2011,8,16291,31,Crust is not good.,0
3,11/20/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Afternoon,Potatoes,Aluwahlia & Sons,12/17/2011,12/24/2011,7,43326,28,Not tasty and the texture was just nasty.,0
4,03/02/2023,Sugarcane juice,Beverages,25,6,150,Online,Mr.,Night,Potatoes,Batata & Co.,12/30/2011,01/06/2012,7,12805,30,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
5,02/10/2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Evening,Potatoes,Batata Batata Men,12/27/2011,01/02/2012,6,16527,31,The selection on the menu was great and so were the prices.,1
6,11/14/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Evening,Potatoes,Aluwahlia & Sons,12/24/2011,01/01/2012,8,16322,28,Now I am getting angry and I want my damn pho.,0
7,03/05/2022,Sugarcane juice,Beverages,25,9,225,Cash,Mr.,Evening,Potatoes,Batata & Co.,01/06/2012,01/12/2012,6,38302,32,Honeslty it didn't taste THAT fresh.),0
8,12/22/2022,Panipuri,Fastfood,20,14,280,Online,Mr.,Night,Potatoes,Batata Batata Men,01/03/2012,01/10/2012,7,56681,31,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
9,10/06/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Morning,Potatoes,Aluwahlia & Sons,12/31/2011,01/08/2012,8,17555,28,The fries were great too.,1
10,09/16/2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon,Potatoes,Batata & Co.,01/13/2012,01/19/2012,6,50062,30,A great touch.,1
